ACCESSION: MSBNK-SMB_Measured-HSA032P0544001
RECORD_TITLE: Characterized; LysoPC(18:1(11Z)); LC-ESI-QTOF; MS2; POSITIVE; generated fron DDA dataset
DATE: 2025.04.02 (Averaged 2025.02.25, Processed 2025.02.25, Annotated 2025.03.31, Curated 2025.04.02)
AUTHORS: Shin-MassBank project
LICENSE: CC BY-NC-SA
PUBLICATION: Yu et al. Front Cell Infect Microbiol. 2022,11,763507
COMMENT: This is an averaged mass spectra data created by averaging product ion scan data obtained from the following DDA dataset.
COMMENT: The metabolite structure was characterized at Level 3 automatically. One of the possible structures is shown in the record.
COMMENT: REPOSITORY MetaboLights
COMMENT: DATASET_ID MTBLS3233
COMMENT: DATASET_TITLE The gut microbiome and metabolites are altered and interrelated in patients with rheumatoid arthritis
COMMENT: DATASET_AUTHORS Die Yu, Juping Du, Xia Pu, Liyuan Zheng, Shuaishuai Chen, Na Wang, Jun Li, Shiyong Chen, Shaobiao Pan, Bo Shen
COMMENT: MS1_M/Z_AVERAGED_THRES 15.000
COMMENT: MS2_M/Z_AVERAGED_THRES 20.000
COMMENT: DATASET_FILE_NUM 60
COMMENT: NUM_AVERAGED_SPEC 27
COMMENT: RAW_SPEC {'HC4-pos_4505': {'bp': 22009.0, 'sum': 51549.0}, 'HC3-pos_4838': {'bp': 13069.0, 'sum': 36449.0}, 'RA14-pos_4247': {'bp': 9998.0, 'sum': 24647.0}, 'RA11-pos_4350': {'bp': 8459.0, 'sum': 23036.0}, 'RA1-pos_4835': {'bp': 7415.0, 'sum': 18338.0}, 'RA11-pos_4299': {'bp': 6916.0, 'sum': 16691.0}, 'RA21-pos_3522': {'bp': 6525.0, 'sum': 18618.0}, 'HC15-pos_4506': {'bp': 6130.0, 'sum': 19220.0}, 'RA1-pos_5058': {'bp': 5810.0, 'sum': 16847.0}, 'RA7-pos_4368': {'bp': 5480.0, 'sum': 14820.0}, 'HC25-pos_4474': {'bp': 4939.0, 'sum': 19525.0}, 'RA3-pos_4397': {'bp': 3377.0, 'sum': 8347.0}, 'RA25-pos_4510': {'bp': 3339.0, 'sum': 11401.0}, 'HC10-pos_4426': {'bp': 2791.0, 'sum': 8519.0}, 'HC3-pos_4775': {'bp': 2780.0, 'sum': 6420.0}, 'RA4-pos_4543': {'bp': 2400.0, 'sum': 6417.0}, 'HC24-pos_4340': {'bp': 2235.0, 'sum': 6479.0}, 'RA15-pos_4633': {'bp': 1985.0, 'sum': 5304.0}, 'HC17-pos_4381': {'bp': 1928.0, 'sum': 6010.0}, 'RA9-pos_4230': {'bp': 1863.0, 'sum': 4945.0}, 'RA12-pos_4698': {'bp': 1411.0, 'sum': 4343.0}, 'HC21-pos_4380': {'bp': 1392.0, 'sum': 4055.0}, 'RA18-pos_4455': {'bp': 1317.0, 'sum': 5591.0}, 'QC1-pos_4296': {'bp': 1212.0, 'sum': 3932.0}, 'RA11-pos_4259': {'bp': 1099.0, 'sum': 2796.0}, 'HC20-pos_4633': {'bp': 1013.0, 'sum': 3111.0}, 'RA23-pos_4370': {'bp': 993.0, 'sum': 2987.0}}
COMMENT: RETENTION_TIME_STDEV 0.037
COMMENT: PRECURSOR_M/Z_RAW 544.335378
COMMENT: PRECURSOR_M/Z_STDEV 0.001085
COMMENT: PRECURSOR_IN_MS1 mz 544.338931; int 159.972; delta(ppm) 19.412541
COMMENT: PROPOSED_CHARGE_STATE +1; mz 545.340763; int 46.300; cor 0.975
COMMENT: PROPOSED_ISOTOPE_STATE ND
COMMENT: PROPOSED_ION_FORM M+Na; M+H; mz 522.357997; int 999.000; cor 0.866
COMMENT: PROPOSED_ION_FORM M+Na; M+K; mz 560.311282; int 13.396; cor 0.958
COMMENT: PROPOSED_ION_FORM M+2Na-H; M+Na; mz 522.357997; int 999.000; cor 0.866
COMMENT: PROPOSED_ION_FORM M+2ACN+H; M+IsoProp+H; mz 522.357997; int 999.000; cor 0.866
COMMENT: PROPOSED_MAX_NUM_S 2
COMMENT: PROPOSED_MF SevenGoldenRules 14.934; C22H50N5O8P; [M+H]+; delta(ppm) -14.933790
COMMENT: PROPOSED_MF SevenGoldenRules 14.691; C33H45N5S; [M+H]+; delta(ppm) -14.690845
COMMENT: PROPOSED_MF SevenGoldenRules 14.568; C32H51NO2P2; [M+H]+; delta(ppm) -14.567532
COMMENT: PROPOSED_MF SevenGoldenRules 13.368; C24H55N3O4SP2; [M+H]+; delta(ppm) -13.367528
COMMENT: PROPOSED_MF SevenGoldenRules 12.230; C32H49NO4S; [M+H]+; delta(ppm) -12.230101
COMMENT: PROPOSED_MF SevenGoldenRules 11.527; C34H46N3OP; [M+H]+; delta(ppm) -11.527031
COMMENT: PROPOSED_MF SevenGoldenRules 11.030; C24H53N3O6S2; [M+H]+; delta(ppm) -11.030097
COMMENT: PROPOSED_MF SevenGoldenRules 10.327; C26H50N5O3SP; [M+H]+; delta(ppm) -10.327027
COMMENT: PROPOSED_MF SevenGoldenRules 9.431; C23H49N3O11; [M+H]+; delta(ppm) -9.430705
COMMENT: PROPOSED_MF SevenGoldenRules 7.866; C25H54NO7SP; [M+H]+; delta(ppm) -7.866283
COMMENT: PROPOSED_MF SevenGoldenRules 7.163; C27H51N3O4P2; [M+H]+; delta(ppm) -7.163213
COMMENT: PROPOSED_MF SevenGoldenRules 6.026; C35H45NO4; [M+H]+; delta(ppm) -6.025786
COMMENT: PROPOSED_MF SevenGoldenRules 4.826; C27H49N3O6S; [M+H]+; delta(ppm) -4.825782
COMMENT: PROPOSED_MF SevenGoldenRules 4.123; C29H46N5O3P; [M+H]+; delta(ppm) -4.122713
COMMENT: PROPOSED_MF SevenGoldenRules 3.261; C29H54NO2S2P; [M+H]+; delta(ppm) -3.261360
COMMENT: PROPOSED_MF SevenGoldenRules 1.662; C28H50NO7P; [M+H]+; delta(ppm) -1.661969
COMMENT: PROPOSED_MF SevenGoldenRules 0.221; C31H49N3OS2; [M+H]+; delta(ppm) -0.220860
COMMENT: PROPOSED_MF SevenGoldenRules 0.241; C22H51N5O6P2; [M+H]+; delta(ppm) 0.241105
COMMENT: PROPOSED_MF SevenGoldenRules 1.379; C30H45N3O6; [M+H]+; delta(ppm) 1.378532
COMMENT: PROPOSED_MF SevenGoldenRules 2.577; C22H49N5O8S; [M+H]+; delta(ppm) 2.576695
COMMENT: PROPOSED_MF SevenGoldenRules 2.943; C32H50NO2SP; [M+H]+; delta(ppm) 2.942954
COMMENT: PROPOSED_MF SevenGoldenRules 4.143; C24H54N3O4S2P; [M+H]+; delta(ppm) 4.142958
COMMENT: PROPOSED_MF SevenGoldenRules 4.846; C26H51N5OSP2; [M+H]+; delta(ppm) 4.846028
