ACCESSION: MSBNK-SMB_Measured-HSA031P0442000
RECORD_TITLE: Uncharacterized; LC-ESI-QTOF; MS2; NEGATIVE; Averaged data
DATE: 2025.04.02 (Averaged 2025.02.24, Processed 2025.02.24, Annotated 2025.03.31, Curated 2025.04.02)
AUTHORS: Shin-MassBank project
LICENSE: CC BY-NC-SA
PUBLICATION: Yu et al. Front Cell Infect Microbiol. 2022,11,763507
COMMENT: This is an averaged mass spectra data created by averaging product ion scan data obtained from the following DDA dataset.
COMMENT: REPOSITORY MetaboLights
COMMENT: DATASET_ID MTBLS3233
COMMENT: DATASET_TITLE The gut microbiome and metabolites are altered and interrelated in patients with rheumatoid arthritis
COMMENT: DATASET_AUTHORS Die Yu, Juping Du, Xia Pu, Liyuan Zheng, Shuaishuai Chen, Na Wang, Jun Li, Shiyong Chen, Shaobiao Pan, Bo Shen
COMMENT: MS1_M/Z_AVERAGED_THRES 10.000
COMMENT: MS2_M/Z_AVERAGED_THRES 15.000
COMMENT: DATASET_FILE_NUM 59
COMMENT: NUM_AVERAGED_SPEC 24
COMMENT: RAW_SPEC {'HC12-neg_2991': {'bp': 4520.0, 'sum': 5998.0}, 'HC19-neg_2709': {'bp': 2170.0, 'sum': 2882.0}, 'HC3-neg_3003': {'bp': 2142.0, 'sum': 2600.0}, 'HC9-neg_2700': {'bp': 2062.0, 'sum': 3179.0}, 'RA17-neg_2895': {'bp': 1857.0, 'sum': 2570.0}, 'HC18-neg_2813': {'bp': 1815.0, 'sum': 2172.0}, 'RA2-neg_2857': {'bp': 1391.0, 'sum': 1850.0}, 'HC2-neg_2691': {'bp': 1383.0, 'sum': 2146.0}, 'RA5-neg_2782': {'bp': 1225.0, 'sum': 1836.0}, 'QC2-neg_2505': {'bp': 1215.0, 'sum': 2281.0}, 'RA12-neg_2947': {'bp': 1124.0, 'sum': 1888.0}, 'HC13-neg_3090': {'bp': 1076.0, 'sum': 1535.0}, 'QC1-neg_2493': {'bp': 980.0, 'sum': 1947.0}, 'HC5-neg_2695': {'bp': 774.0, 'sum': 1690.0}, 'HC20-neg_2909': {'bp': 766.0, 'sum': 1021.0}, 'RA13-neg_2718': {'bp': 678.0, 'sum': 1086.0}, 'RA16-neg_2951': {'bp': 654.0, 'sum': 1163.0}, 'HC10-neg_2869': {'bp': 551.0, 'sum': 1008.0}, 'QC5-neg_2704': {'bp': 550.0, 'sum': 907.0}, 'QC6-neg_2754': {'bp': 547.0, 'sum': 801.0}, 'HC7-neg_2632': {'bp': 445.0, 'sum': 699.0}, 'HC16-neg_3098': {'bp': 409.0, 'sum': 664.0}, 'RA15-neg_2915': {'bp': 376.0, 'sum': 733.0}, 'RA7-neg_2481': {'bp': 290.0, 'sum': 494.0}}
COMMENT: RETENTION_TIME_STDEV 0.006
COMMENT: PRECURSOR_M/Z_RAW 442.191814
COMMENT: PRECURSOR_M/Z_STDEV 0.001220
COMMENT: PRECURSOR_IN_MS1 mz 442.189355; int 33.548; delta(ppm) -0.797108
COMMENT: PROPOSED_CHARGE_STATE ND
COMMENT: PROPOSED_ISOTOPE_STATE ND
COMMENT: PROPOSED_ION_FORM M+Na-2H; M-H2O-H; mz 402.195241; int 3.402; cor 0.626
COMMENT: PROPOSED_MAX_NUM_S 0
COMMENT: PROPOSED_MF SevenGoldenRules 8.597; C22H31N5OP2; [M-H]1; delta(ppm) -8.596637
COMMENT: PROPOSED_MF SevenGoldenRules 8.360; C17H33NO12; [M-H]1; delta(ppm) -8.359722
COMMENT: PROPOSED_MF SevenGoldenRules 6.027; C11H34N5O11P; [M-H]1; delta(ppm) -6.026671
COMMENT: PROPOSED_MF SevenGoldenRules 5.578; C21H35NO5P2; [M-H]1; delta(ppm) -5.577660
COMMENT: PROPOSED_MF SevenGoldenRules 1.850; C23H30N3O4P; [M-H]1; delta(ppm) -1.850195
COMMENT: PROPOSED_MF SevenGoldenRules 0.718; C12H33N3O14; [M-H]1; delta(ppm) 0.717515
COMMENT: PROPOSED_MF SevenGoldenRules 3.500; C16H35N3O7P2; [M-H]1; delta(ppm) 3.499576
COMMENT: PROPOSED_MF SevenGoldenRules 4.894; C24H29NO7; [M-H]1; delta(ppm) 4.893991
COMMENT: PROPOSED_MF SevenGoldenRules 7.225; C18H30N5O6P; [M-H]1; delta(ppm) 7.224785
COMMENT: PROPOSED_MF SevenGoldenRules 7.674; C28H31NP2; [M-H]1; delta(ppm) 7.673796
COMMENT: PROPOSED_MF SevenGoldenRules 6.253; C16H31N5O8; [M+Na-2H]1; delta(ppm) -6.253344
COMMENT: PROPOSED_MF SevenGoldenRules 5.781; C26H32NO2P; [M+Na-2H]1; delta(ppm) -5.780901
COMMENT: PROPOSED_MF SevenGoldenRules 3.328; C20H33N5OP2; [M+Na-2H]1; delta(ppm) -3.328469
COMMENT: PROPOSED_MF SevenGoldenRules 3.079; C15H35NO12; [M+Na-2H]1; delta(ppm) -3.079190
COMMENT: PROPOSED_MF SevenGoldenRules 0.152; C19H37NO5P2; [M+Na-2H]1; delta(ppm) -0.151942
COMMENT: PROPOSED_MF SevenGoldenRules 3.768; C21H32N3O4P; [M+Na-2H]1; delta(ppm) 3.767675
COMMENT: PROPOSED_MF SevenGoldenRules 7.690; C23H27N5O3; [M+Na-2H]1; delta(ppm) 7.689666
COMMENT: PROPOSED_MF SevenGoldenRules 9.397; C14H37N3O7P2; [M+Na-2H]1; delta(ppm) 9.396635
COMMENT: PROPOSED_MF MS-FINDER 3.189; C25H25N5O3; [M-H]-; delta(ppm) 1.880943
COMMENT: PROPOSED_MF MS-FINDER 3.084; C24H29NO7; [M-H]-; delta(ppm) 4.905492
COMMENT: PROPOSED_MF MS-FINDER 3.056; C22H29N5O3S; [M-H]-; delta(ppm) -5.742748
COMMENT: PROPOSED_MF MS-FINDER 2.909; C20H31N5O3S; [M+Na-2H]-; delta(ppm) 88588.118744
COMMENT: PROPOSED_MF MS-FINDER 2.854; C14H40NO8P3; [M-H]-; delta(ppm) -0.228019
COMMENT: PROPOSED_MF MS-FINDER 2.854; C21H33NO7S; [M-H]-; delta(ppm) -2.718245
COMMENT: PROPOSED_MF MS-FINDER 2.841; C9H35N9O5P2S; [M-H]-; delta(ppm) 1.956494
COMMENT: PROPOSED_MF MS-FINDER 2.836; C8H26N15O5P; [M-H]-; delta(ppm) -2.991060
COMMENT: PROPOSED_MF MS-FINDER 2.836; C10H21N17O4; [M-H]-; delta(ppm) 0.744361
COMMENT: PROPOSED_MF MS-FINDER 2.821; C17H27N9O4; [M+Na-2H]-; delta(ppm) 88577.829292
COMMENT: PROPOSED_MF MS-FINDER 2.810; C13H29N7O10; [M-H]-; delta(ppm) -2.303906
