ACCESSION: MSBNK-SMB_Measured-HSA015P0451001
RECORD_TITLE: Uncharacterized; LC-ESI-QFT; MS2; POSITIVE; Averaged data
DATE: 2025.03.05 (Averaged 2025.02.21, Processed 2025.02.21, Annotated 2025.03.05, Curated 2025.03.05)
AUTHORS: Shin-MassBank project
LICENSE: CC BY-NC-SA
PUBLICATION: Ruggiero et al. Int J Cancer. 2023, 153, 1, 210-223
COMMENT: This is an averaged mass spectra data created by averaging product ion scan data obtained from the following DDA dataset.
COMMENT: REPOSITORY MetaboLights
COMMENT: DATASET_ID MTBLS6402
COMMENT: DATASET_TITLE FSCN1 as a new druggable target in adrenocortical carcinoma
COMMENT: DATASET_AUTHORS Andrei Turtoi, Enzo Lalli
COMMENT: MS1_M/Z_AVERAGED_THRES 5.000
COMMENT: MS2_M/Z_AVERAGED_THRES 5.000
COMMENT: DATASET_FILE_NUM 27
COMMENT: NUM_AVERAGED_SPEC 10
COMMENT: RAW_SPEC {'EL05_pos_9215': {'bp': 74059.0, 'sum': 484517.0}, 'EL07_pos_9141': {'bp': 70849.0, 'sum': 493278.0}, 'EL09_pos_9159': {'bp': 62782.0, 'sum': 417647.0}, 'EL11_pos_9136': {'bp': 57453.0, 'sum': 389452.0}, 'EL06_pos_9183': {'bp': 55072.0, 'sum': 348031.0}, 'EL16_pos_9149': {'bp': 50715.0, 'sum': 320753.0}, 'EL24_pos_9148': {'bp': 48695.0, 'sum': 344516.0}, 'EL20_pos_9155': {'bp': 44954.0, 'sum': 308917.0}, 'EL04_pos_9131': {'bp': 44760.0, 'sum': 305973.0}, 'EL08_pos_9161': {'bp': 32449.0, 'sum': 184590.0}}
COMMENT: RETENTION_TIME_STDEV 0.009
COMMENT: PRECURSOR_M/Z_RAW 451.164676
COMMENT: PRECURSOR_M/Z_STDEV 0.000166
COMMENT: PRECURSOR_IN_MS1 mz 451.164605; int 61.714; delta(ppm) 0.876731
COMMENT: PROPOSED_CHARGE_STATE ND
COMMENT: PROPOSED_ISOTOPE_STATE ND
COMMENT: PROPOSED_ION_FORM M+H; M+Na; mz 473.147025; int 9.130; cor 0.983
COMMENT: PROPOSED_ION_FORM M+Na; M+2Na-H; mz 473.147025; int 9.130; cor 0.983
COMMENT: PROPOSED_MAX_NUM_S 0
COMMENT: PROPOSED_MF SevenGoldenRules 2.763; C20H28N4O4P2; [M+H]+; delta(ppm) -2.763478
COMMENT: PROPOSED_MF SevenGoldenRules 2.530; C15H30O15; [M+H]+; delta(ppm) -2.530226
COMMENT: PROPOSED_MF SevenGoldenRules 0.207; C19H32O8P2; [M+H]+; delta(ppm) 0.206594
COMMENT: PROPOSED_MF SevenGoldenRules 3.876; C21H27N2O7P; [M+H]+; delta(ppm) 3.876422
COMMENT: PROPOSED_MF SevenGoldenRules 4.019; C12H33N2O12P; [M+Na]+; delta(ppm) -4.019381
COMMENT: PROPOSED_MF SevenGoldenRules 0.161; C14H28N4O11; [M+Na]+; delta(ppm) -0.161149
COMMENT: PROPOSED_MF SevenGoldenRules 0.304; C24H29O5P; [M+Na]+; delta(ppm) 0.303614
COMMENT: PROPOSED_MF SevenGoldenRules 2.719; C18H30N4O4P2; [M+Na]+; delta(ppm) 2.718512
COMMENT: PROPOSED_MF SevenGoldenRules 2.964; C13H32O15; [M+Na]+; delta(ppm) 2.963739
COMMENT: PROPOSED_MF MS-FINDER 3.470; C21H27N2O7P; [M+H]+; delta(ppm) 3.866316
COMMENT: PROPOSED_MF MS-FINDER 3.217; C20H26N4O6S; [M+H]+; delta(ppm) 0.055361
COMMENT: PROPOSED_MF MS-FINDER 2.933; C12H32N6O6P2S; [M+H]+; delta(ppm) -1.314882
COMMENT: PROPOSED_MF MS-FINDER 2.893; C19H32O8P2; [M+H]+; delta(ppm) 0.205183
COMMENT: PROPOSED_MF MS-FINDER 2.875; C13H33N4O7P3; [M+H]+; delta(ppm) 2.496062
COMMENT: PROPOSED_MF MS-FINDER 2.868; C14H27N8O5PS; [M+H]+; delta(ppm) 2.346239
COMMENT: PROPOSED_MF MS-FINDER 2.863; C12H40N2O5P2S3; [M+H]+; delta(ppm) -0.276690
COMMENT: PROPOSED_MF MS-FINDER 2.862; C24H29O5P; [M+Na]+; delta(ppm) 20324.002864
COMMENT: PROPOSED_MF MS-FINDER 2.818; C10H35N4O9PS2; [M+H]+; delta(ppm) -2.161459
COMMENT: PROPOSED_MF MS-FINDER 2.804; C16H33N2O7PS; [M+Na]+; delta(ppm) 20325.506463
COMMENT: PROPOSED_MF MS-FINDER 2.799; C11H36N2O10P2S; [M+H]+; delta(ppm) 1.649478
COMMENT: PROPOSED_MF MS-FINDER 2.797; C9H33N8O5PS2; [M+Na]+; delta(ppm) 20323.923978
COMMENT: PROPOSED_MF MS-FINDER 2.791; C28H22N2O4; [M+H]+; delta(ppm) -1.388929
COMMENT: PROPOSED_MF MS-FINDER 2.788; C7H27N14O3PS2; [M+H]+; delta(ppm) 0.826167
COMMENT: PROPOSED_MF MS-FINDER 2.784; C13H26N10O4S2; [M+H]+; delta(ppm) -1.464703
COMMENT: PROPOSED_MF MS-FINDER 2.756; C23H28N2O4S; [M+Na]+; delta(ppm) 20320.035459
COMMENT: PROPOSED_MF MS-FINDER 2.751; C22H23N6O3P; [M+H]+; delta(ppm) 0.901942
COMMENT: PROPOSED_MF MS-FINDER 2.748; C11H38N2O8P4; [M+H]+; delta(ppm) -1.165061
COMMENT: PROPOSED_MF MS-FINDER 2.732; C18H31N2O7PS; [M+H]+; delta(ppm) -3.605743
COMMENT: PROPOSED_MF MS-FINDER 2.709; C19H24N8O2S; [M+Na]+; delta(ppm) 20326.231834
COMMENT: PROPOSED_MF MS-FINDER 2.701; C13H41O6P3S2; [M+H]+; delta(ppm) 3.534262
COMMENT: PROPOSED_MF MS-FINDER 2.661; C14H35N4O4PS3; [M+H]+; delta(ppm) 3.384439
COMMENT: PROPOSED_MF MS-FINDER 2.660; C10H34N6O6P2S; [M+Na]+; delta(ppm) 20327.891414
COMMENT: PROPOSED_MF MS-FINDER 2.660; C18H30N4O4P2; [M+Na]+; delta(ppm) 20326.387808
COMMENT: PROPOSED_MF MS-FINDER 2.655; C21H22N8O2S; [M+H]+; delta(ppm) -2.908989
COMMENT: PROPOSED_MF MS-FINDER 2.649; C9H25N12O6P; [M+Na]+; delta(ppm) 20322.843156
COMMENT: PROPOSED_MF MS-FINDER 2.644; C20H28N4O4P2; [M+H]+; delta(ppm) -2.759169
COMMENT: PROPOSED_MF MS-FINDER 2.613; C26H24N2O4; [M+Na]+; delta(ppm) 20327.814325
COMMENT: PROPOSED_MF MS-FINDER 2.591; C8H28N12O4P2S; [M+H]+; delta(ppm) 4.637127
COMMENT: PROPOSED_MF MS-FINDER 2.585; C14H38O8P2S; [M+Na]+; delta(ppm) 20321.695019
COMMENT: PROPOSED_MF MS-FINDER 2.562; C10H37N4O7P3S; [M+H]+; delta(ppm) -4.975977
COMMENT: PROPOSED_MF MS-FINDER 2.562; C7H28N10O9S; [M+Na]+; delta(ppm) 20321.961818
COMMENT: PROPOSED_MF MS-FINDER 2.549; C8H29N8O10P; [M+Na]+; delta(ppm) 20325.929238
COMMENT: PROPOSED_MF MS-FINDER 2.545; C11H28N10O4S2; [M+Na]+; delta(ppm) 20327.735439
COMMENT: PROPOSED_MF MS-FINDER 2.534; C17H29N6O3PS; [M+Na]+; delta(ppm) 20322.420384
COMMENT: PROPOSED_MF MS-FINDER 2.516; C11H39N4O4PS4; [M+H]+; delta(ppm) -4.087612
COMMENT: PROPOSED_MF MS-FINDER 2.495; C10H27N8O10P; [M+H]+; delta(ppm) -3.199648
COMMENT: PROPOSED_MF MS-FINDER 2.490; C12H22N10O9; [M+H]+; delta(ppm) 0.461460
COMMENT: PROPOSED_MF MS-FINDER 2.489; C22H31N2O2PS2; [M+H]+; delta(ppm) 1.940139
COMMENT: PROPOSED_MF MS-FINDER 2.479; C9H22N16O2S2; [M+H]+; delta(ppm) 4.487305
COMMENT: PROPOSED_MF MS-FINDER 2.474; C12H30N6O8S2; [M+H]+; delta(ppm) 1.499656
COMMENT: PROPOSED_MF MS-FINDER 2.440; C17H37N2O2PS3; [M+Na]+; delta(ppm) 20323.501205
COMMENT: PROPOSED_MF MS-FINDER 2.397; C13H34N6O3S4; [M+H]+; delta(ppm) -0.426511
COMMENT: PROPOSED_MF MS-FINDER 2.308; C20H34O5S3; [M+H]+; delta(ppm) 1.093557
COMMENT: PROPOSED_MF MS-FINDER 2.296; C14H36O10S2; [M+Na]+; delta(ppm) 20324.625120
COMMENT: PROPOSED_MF MS-FINDER 2.292; C8H32N10O4S3; [M+Na]+; delta(ppm) 20319.956574
COMMENT: PROPOSED_MF MS-FINDER 2.291; C14H28N4O11; [M+Na]+; delta(ppm) 20323.544296
COMMENT: PROPOSED_MF MS-FINDER 2.289; C21H30N4OS3; [M+H]+; delta(ppm) -1.870800
COMMENT: PROPOSED_MF MS-FINDER 2.287; C19H30O10S; [M+H]+; delta(ppm) 3.019730
COMMENT: PROPOSED_MF MS-FINDER 2.281; C13H18N14O5; [M+H]+; delta(ppm) -2.502893
COMMENT: PROPOSED_MF MS-FINDER 2.271; C11H26N6O13; [M+H]+; delta(ppm) 3.425831
